objectid,filename,format,registration_number,title,subject,object_classification,material,measurement,colour,cultural_influence,manufacture_place,locations,price,placement,usage_context,position,face_expression,body_part_position,false_gesture,description
dmc1,dmc1.jpeg,image/jpeg,DMC 1,Buddha Holding  Pot,Interior Decorative,,,,,Chinese,,TK Maxx Bochum,10,,,,,,,
dmc2,dmc2.jpeg,image/jpeg,DMC 2,Buddha Holding  Pot,Interior Decorative,,,,,Japan,,TK Maxx Bochum,5,,,,,,,
dmc3,dmc3.jpeg,image/jpeg,DMC 3,Buddha Holding  Pot,Interior Decorative,,,,,German,,TK Maxx Bochum,7,,,,,,,
dmc4,dmc4.jpeg,image/jpeg,DMC 4,Overview Display,market arranging,,,,,Turkish,,Tedi Bochum,8,,,,,,,
dmc5,dmc5.jpeg,image/jpeg,DMC 5,Buddha Binding Hands,Garden Decorative,,,,,,,Tedi Bochum,9,,,,,,,
dmc6,dmc6.jpeg,image/jpeg,DMC 6,Buddha Binding Hands,Garden Decorative,,,,,,,,,,,,,,,
dmc7,dmc7.jpeg,image/jpeg,DMC 7,,,,,,,,,,,,,,,,,
dmc8,dmc8.jpeg,image/jpeg,DMC 8,,,,,,,,,,,,,,,,,
dmc9,dmc9.jpeg,image/jpeg,DMC 9,,,,,,,,,,,,,,,,,
dmc10,dmc10.jpeg,image/jpeg,DMC 10,,,,,,,,,,,,,,,,,
dmc11,dmc11.jpeg,image/jpeg,DMC 11,,,,,,,,,,,,,,,,,
dmc12,dmc12.jpeg,image/jpeg,DMC 12,,,,,,,,,,,,,,,,,
dmc13,dmc13.jpeg,image/jpeg,DMC 13,,,,,,,,,,,,,,,,,
dmc14,dmc14.jpeg,image/jpeg,DMC 14,,,,,,,,,,,,,,,,,
dmc15,dmc15.jpeg,image/jpeg,DMC 15,,,,,,,,,,,,,,,,,
dmc16,dmc16.jpeg,image/jpeg,DMC 16,,,,,,,,,,,,,,,,,
dmc17,dmc17.jpeg,image/jpeg,DMC 17,,,,,,,,,,,,,,,,,
dmc18,dmc18.jpeg,image/jpeg,DMC 18,,,,,,,,,,,,,,,,,
dmc19,dmc19.jpeg,image/jpeg,DMC 19,,,,,,,,,,,,,,,,,
dmc20,dmc20.jpeg,image/jpeg,DMC 20,,,,,,,,,,,,,,,,,
dmc21,dmc21.jpeg,image/jpeg,DMC 21,,,,,,,,,,,,,,,,,
dmc22,dmc22.jpeg,image/jpeg,DMC 22,,,,,,,,,,,,,,,,,
dmc23,dmc23.jpeg,image/jpeg,DMC 23,,,,,,,,,,,,,,,,,
dmc24,dmc24.jpeg,image/jpeg,DMC 24,,,,,,,,,,,,,,,,,
dmc25,dmc25.jpeg,image/jpeg,DMC 25,,,,,,,,,,,,,,,,,
dmc26,dmc26.jpeg,image/jpeg,DMC 26,,,,,,,,,,,,,,,,,
dmc27,dmc27.jpeg,image/jpeg,DMC 27,,,,,,,,,,,,,,,,,
dmc28,dmc28.jpeg,image/jpeg,DMC 28,,,,,,,,,,,,,,,,,
dmc29,dmc29.jpeg,image/jpeg,DMC 29,,,,,,,,,,,,,,,,,
dmc30,dmc30.jpeg,image/jpeg,DMC 30,,,,,,,,,,,,,,,,,
dmc31,dmc31.jpeg,image/jpeg,DMC 31,,,,,,,,,,,,,,,,,
dmc32,dmc32.jpeg,image/jpeg,DMC 32,,,,,,,,,,,,,,,,,
dmc33,dmc33.jpeg,image/jpeg,DMC 33,,,,,,,,,,,,,,,,,
dmc34,dmc34.jpeg,image/jpeg,DMC 34,,,,,,,,,,,,,,,,,
dmc35,dmc35.jpeg,image/jpeg,DMC 35,,,,,,,,,,,,,,,,,
dmc36,dmc36.jpeg,image/jpeg,DMC 36,,,,,,,,,,,,,,,,,
dmc37,dmc37.jpeg,image/jpeg,DMC 37,,,,,,,,,,,,,,,,,
dmc38,dmc38.jpeg,image/jpeg,DMC 38,,,,,,,,,,,,,,,,,
dmc39,dmc39.jpeg,image/jpeg,DMC 39,,,,,,,,,,,,,,,,,
dmc40,dmc40.jpeg,image/jpeg,DMC 40,,,,,,,,,,,,,,,,,
dmc41,dmc41.jpeg,image/jpeg,DMC 41,,,,,,,,,,,,,,,,,
dmc42,dmc42.jpeg,image/jpeg,DMC 42,,,,,,,,,,,,,,,,,
dmc43,dmc43.jpeg,image/jpeg,DMC 43,,,,,,,,,,,,,,,,,
dmc44,dmc44.jpeg,image/jpeg,DMC 44,,,,,,,,,,,,,,,,,
dmc45,dmc45.jpeg,image/jpeg,DMC 45,,,,,,,,,,,,,,,,,
dmc46,dmc46.jpeg,image/jpeg,DMC 46,,,,,,,,,,,,,,,,,
dmc47,dmc47.jpeg,image/jpeg,DMC 47,,,,,,,,,,,,,,,,,
dmc48,dmc48.jpeg,image/jpeg,DMC 48,,,,,,,,,,,,,,,,,
dmc49,dmc49.jpeg,image/jpeg,DMC 49,,,,,,,,,,,,,,,,,
dmc50,dmc50.jpeg,image/jpeg,DMC 50,,,,,,,,,,,,,,,,,
dmc51,dmc51.jpeg,image/jpeg,DMC 51,,,,,,,,,,,,,,,,,
dmc52,dmc52.jpeg,image/jpeg,DMC 52,,,,,,,,,,,,,,,,,
dmc53,dmc53.jpeg,image/jpeg,DMC 53,,,,,,,,,,,,,,,,,
dmc54,dmc54.jpeg,image/jpeg,DMC 54,,,,,,,,,,,,,,,,,
dmc55,dmc55.jpeg,image/jpeg,DMC 55,,,,,,,,,,,,,,,,,
dmc56,dmc56.jpeg,image/jpeg,DMC 56,,,,,,,,,,,,,,,,,
dmc57,dmc57.jpeg,image/jpeg,DMC 57,,,,,,,,,,,,,,,,,
dmc58,dmc58.jpeg,image/jpeg,DMC 58,,,,,,,,,,,,,,,,,
dmc59,dmc59.jpeg,image/jpeg,DMC 59,,,,,,,,,,,,,,,,,
dmc60,dmc60.jpeg,image/jpeg,DMC 60,,,,,,,,,,,,,,,,,
dmc61,dmc61.jpeg,image/jpeg,DMC 61,,,,,,,,,,,,,,,,,
dmc62,dmc62.jpeg,image/jpeg,DMC 62,,,,,,,,,,,,,,,,,
dmc63,dmc63.jpeg,image/jpeg,DMC 63,,,,,,,,,,,,,,,,,
dmc64,dmc64.jpeg,image/jpeg,DMC 64,,,,,,,,,,,,,,,,,
dmc65,dmc65.jpeg,image/jpeg,DMC 65,,,,,,,,,,,,,,,,,
dmc66,dmc66.jpeg,image/jpeg,DMC 66,,,,,,,,,,,,,,,,,
dmc67,dmc67.jpeg,image/jpeg,DMC 67,,,,,,,,,,,,,,,,,
dmc68,dmc68.jpeg,image/jpeg,DMC 68,,,,,,,,,,,,,,,,,
dmc69,dmc69.jpeg,image/jpeg,DMC 69,,,,,,,,,,,,,,,,,
dmc70,dmc70.jpeg,image/jpeg,DMC 70,,,,,,,,,,,,,,,,,
dmc71,dmc71.jpeg,image/jpeg,DMC 71,,,,,,,,,,,,,,,,,
dmc72,dmc72.jpeg,image/jpeg,DMC 72,,,,,,,,,,,,,,,,,
dmc73,dmc73.jpeg,image/jpeg,DMC 73,,,,,,,,,,,,,,,,,
dmc74,dmc74.jpeg,image/jpeg,DMC 74,,,,,,,,,,,,,,,,,
dmc75,dmc75.jpeg,image/jpeg,DMC 75,,,,,,,,,,,,,,,,,
dmc76,dmc76.jpeg,image/jpeg,DMC 76,,,,,,,,,,,,,,,,,
dmc77,dmc77.jpeg,image/jpeg,DMC 77,,,,,,,,,,,,,,,,,
dmc78,dmc78.jpeg,image/jpeg,DMC 78,,,,,,,,,,,,,,,,,
dmc79,dmc79.jpeg,image/jpeg,DMC 79,,,,,,,,,,,,,,,,,
dmc80,dmc80.jpeg,image/jpeg,DMC 80,,,,,,,,,,,,,,,,,
dmc81,dmc81.jpeg,image/jpeg,DMC 81,,,,,,,,,,,,,,,,,
dmc82,dmc82.jpeg,image/jpeg,DMC 82,,,,,,,,,,,,,,,,,
dmc83,dmc83.jpeg,image/jpeg,DMC 83,,,,,,,,,,,,,,,,,
dmc84,dmc84.jpeg,image/jpeg,DMC 84,,,,,,,,,,,,,,,,,
dmc85,dmc85.jpeg,image/jpeg,DMC 85,,,,,,,,,,,,,,,,,
dmc86,dmc86.jpeg,image/jpeg,DMC 86,,,,,,,,,,,,,,,,,
dmc87,dmc87.jpeg,image/jpeg,DMC 87,,,,,,,,,,,,,,,,,
dmc88,dmc88.jpeg,image/jpeg,DMC 88,,,,,,,,,,,,,,,,,
dmc89,dmc89.jpeg,image/jpeg,DMC 89,,,,,,,,,,,,,,,,,
dmc90,dmc90.jpeg,image/jpeg,DMC 90,,,,,,,,,,,,,,,,,
dmc91,dmc91.jpeg,image/jpeg,DMC 91,,,,,,,,,,,,,,,,,
dmc92,dmc92.jpeg,image/jpeg,DMC 92,,,,,,,,,,,,,,,,,
dmc93,dmc93.jpeg,image/jpeg,DMC 93,,,,,,,,,,,,,,,,,
dmc94,dmc94.jpeg,image/jpeg,DMC 94,,,,,,,,,,,,,,,,,
dmc95,dmc95.jpeg,image/jpeg,DMC 95,,,,,,,,,,,,,,,,,
dmc96,dmc96.jpeg,image/jpeg,DMC 96,,,,,,,,,,,,,,,,,
dmc97,dmc97.jpeg,image/jpeg,DMC 97,,,,,,,,,,,,,,,,,
dmc98,dmc98.jpeg,image/jpeg,DMC 98,,,,,,,,,,,,,,,,,
dmc99,dmc99.jpeg,image/jpeg,DMC 99,,,,,,,,,,,,,,,,,
dmc100,dmc100.jpeg,image/jpeg,DMC 100,,,,,,,,,,,,,,,,,
dmc101,dmc101.jpeg,image/jpeg,DMC 101,,,,,,,,,,,,,,,,,
dmc102,dmc102.jpeg,image/jpeg,DMC 102,,,,,,,,,,,,,,,,,
dmc103,dmc103.jpeg,image/jpeg,DMC 103,,,,,,,,,,,,,,,,,
dmc104,dmc104.jpeg,image/jpeg,DMC 104,,,,,,,,,,,,,,,,,
dmc105,dmc105.jpeg,image/jpeg,DMC 105,,,,,,,,,,,,,,,,,
